run_accession	sample_title	sample_alias	library_name	instrument_model
SRR37686270			No08	GridION
SRR37686272			No63	GridION
SRR37686275			No07	GridION
SRR37686276			No60	GridION
SRR37686279			No57	GridION
SRR37686280			No56	GridION
SRR37686283			No53	GridION
SRR37686285			No51	GridION
SRR37686287			No50	GridION
SRR37686288			No49	GridION
SRR37686289			No48	GridION
SRR37686290			No47	GridION
SRR37686294			No43	GridION
SRR37686303			No35	GridION
SRR37686317			No22	GridION
SRR37686318			No21	GridION
SRR37686319			No03	GridION
SRR37686321			No19	GridION
SRR37686323			No17	GridION
SRR37686329			No11	GridION
SRR37686331			No01	GridION
SRR37686269			No09	GridION
SRR37686273			No62	GridION
SRR37686277			No59	GridION
SRR37686281			No55	GridION
SRR37686282			No54	GridION
SRR37686286			No06	GridION
SRR37686291			No46	GridION
SRR37686299			No39	GridION
SRR37686301			No37	GridION
SRR37686306			No32	GridION
SRR37686307			No31	GridION
SRR37686308			No04	GridION
SRR37686310			No29	GridION
SRR37686312			No27	GridION
SRR37686315			No24	GridION
SRR37686320			No20	GridION
SRR37686322			No18	GridION
SRR37686326			No14	GridION
SRR37686327			No13	GridION
SRR37686330			No02	GridION
SRR37686268			No10	GridION
SRR37686271			No64	GridION
SRR37686274			No61	GridION
SRR37686278			No58	GridION
SRR37686284			No52	GridION
SRR37686292			No45	GridION
SRR37686293			No44	GridION
SRR37686295			No42	GridION
SRR37686296			No41	GridION
SRR37686297			No05	GridION
SRR37686298			No40	GridION
SRR37686300			No38	GridION
SRR37686302			No36	GridION
SRR37686304			No34	GridION
SRR37686305			No33	GridION
SRR37686309			No30	GridION
SRR37686311			No28	GridION
SRR37686313			No26	GridION
SRR37686314			No25	GridION
SRR37686316			No23	GridION
SRR37686324			No16	GridION
SRR37686325			No15	GridION
SRR37686328			No12	GridION
